pasta,nome,njud,data,mes,ano,dia_util
06 - JUN - 26,NJUD_2502_16-06-2026.mp3,2502,2026-06-16,6,2026,sim
06 - JUN - 26,NJUD_2503_17-06-2026.mp3,2503,2026-06-17,6,2026,sim
06 - JUN - 26,NJUD_2504_18-06-2026.mp3,2504,2026-06-18,6,2026,sim
06 - JUN - 26,NJUD_2605_26-06-2026.mp3,2605,2026-06-26,6,2026,sim
07 - JUL - 26,NJUD_3007_26-07-2026.mp3,3007,2026-07-26,7,2026,nao
08 - AGO - 26,NJUD_3503_26-08-2026.mp3,3503,2026-08-26,8,2026,sim
08 - AGO - 26,NJUD_3906_27-08-2026.mp3,3906,2026-08-27,8,2026,sim
08 - AGO - 26,NJUD_4401_27-08-2026.mp3,4401,2026-08-27,8,2026,sim
08 - AGO - 26,NJUD_4804_27-08-2026.mp3,4804,2026-08-27,8,2026,sim
08 - AGO - 26,NJUD_5206_27-08-2026.mp3,5206,2026-08-27,8,2026,sim
09 - SET - 26,NJUD_3906_26-09-2026.mp3,3906,2026-09-26,9,2026,nao
10 - OUT - 26,NJUD_4401_26-10-2026.mp3,4401,2026-10-26,10,2026,sim
11 - NOV - 26,NJUD_4804_26-11-2026.mp3,4804,2026-11-26,11,2026,sim
12 - DEZ - 26,NJUD_5206_26-12-2026.mp3,5206,2026-12-26,12,2026,nao
