MES,DIA,PROGRAMA,DATA,STATUS,CAMINHO
FEV,13,NJUD_0705,13/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0705_13-02-2026.mp3
FEV,13,NJUD_1818,13/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1818_13-02-2026.mp3
FEV,16,NJUD_1820,16/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1820_16-02-2026.mp3
FEV,17,NJUD_1823,17/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1823_17-02-2026.mp3
FEV,18,NJUD_1825,18/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1825_18-02-2026.mp3
FEV,19,NJUD_0804,19/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0804_19-02-2026.mp3
FEV,19,NJUD_1841,19/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1841_19-02-2026.mp3
FEV,20,NJUD_0805,20/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0805_20-02-2026.mp3
FEV,20,NJUD_1846,20/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1846_20-02-2026.mp3
FEV,23,NJUD_0901,23/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0901_23-02-2026.mp3
FEV,23,NJUD_1903,23/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1903_23-02-2026.mp3
FEV,24,NJUD_0902,24/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0902_24-02-2026.mp3
FEV,24,NJUD_1908,24/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1908_24-02-2026.mp3
FEV,25,NJUD_1913,25/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1913_25-02-2026.mp3
FEV,26,NJUD_0904,26/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0904_26-02-2026.mp3
FEV,26,NJUD_1918,26/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1918_26-02-2026.mp3
FEV,27,NJUD_0905,27/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0905_27-02-2026.mp3
FEV,27,NJUD_1896,27/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1896_27-02-2026.mp3
MAR,2,NJUD_1001,02/03/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1001_02-03-2026.mp3
MAR,2,NJUD_1827,02/03/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1827_02-03-2026.mp3
MAR,2,NJUD_1828,02/03/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1828_02-03-2026.mp3
