[22:19:04] JORNAIS=619 (+0) | PROCESSED=166 (+2) | OUTPUT=0 (+0) | CABECA=83 CORPO=83 | audit=missing
[22:19:34] JORNAIS=619 (+0) | PROCESSED=170 (+4) | OUTPUT=0 (+0) | CABECA=85 CORPO=85 | audit=missing
[22:20:04] JORNAIS=619 (+0) | PROCESSED=172 (+2) | OUTPUT=0 (+0) | CABECA=86 CORPO=86 | audit=missing
[22:20:34] JORNAIS=619 (+0) | PROCESSED=174 (+2) | OUTPUT=0 (+0) | CABECA=87 CORPO=87 | audit=missing
[22:21:04] JORNAIS=619 (+0) | PROCESSED=178 (+4) | OUTPUT=0 (+0) | CABECA=89 CORPO=89 | audit=missing
[22:21:35] JORNAIS=619 (+0) | PROCESSED=180 (+2) | OUTPUT=0 (+0) | CABECA=90 CORPO=90 | audit=missing
[22:22:05] JORNAIS=619 (+0) | PROCESSED=182 (+2) | OUTPUT=0 (+0) | CABECA=91 CORPO=91 | audit=missing
[22:22:35] JORNAIS=619 (+0) | PROCESSED=186 (+4) | OUTPUT=0 (+0) | CABECA=93 CORPO=93 | audit=missing
[22:23:05] JORNAIS=619 (+0) | PROCESSED=188 (+2) | OUTPUT=0 (+0) | CABECA=94 CORPO=94 | audit=missing
[22:23:35] JORNAIS=619 (+0) | PROCESSED=190 (+2) | OUTPUT=0 (+0) | CABECA=95 CORPO=95 | audit=missing
[22:24:05] JORNAIS=619 (+0) | PROCESSED=192 (+2) | OUTPUT=0 (+0) | CABECA=96 CORPO=96 | audit=missing
[22:24:35] JORNAIS=619 (+0) | PROCESSED=194 (+2) | OUTPUT=0 (+0) | CABECA=97 CORPO=97 | audit=missing
[22:25:05] JORNAIS=619 (+0) | PROCESSED=196 (+2) | OUTPUT=0 (+0) | CABECA=98 CORPO=98 | audit=missing
[22:25:35] JORNAIS=619 (+0) | PROCESSED=198 (+2) | OUTPUT=0 (+0) | CABECA=99 CORPO=99 | audit=missing
[22:26:05] JORNAIS=619 (+0) | PROCESSED=200 (+2) | OUTPUT=0 (+0) | CABECA=100 CORPO=100 | audit=missing
[22:26:35] JORNAIS=619 (+0) | PROCESSED=202 (+2) | OUTPUT=0 (+0) | CABECA=101 CORPO=101 | audit=missing
[22:27:05] JORNAIS=619 (+0) | PROCESSED=206 (+4) | OUTPUT=0 (+0) | CABECA=103 CORPO=103 | audit=missing
[22:27:35] JORNAIS=619 (+0) | PROCESSED=208 (+2) | OUTPUT=0 (+0) | CABECA=104 CORPO=104 | audit=missing
[22:28:05] JORNAIS=619 (+0) | PROCESSED=210 (+2) | OUTPUT=0 (+0) | CABECA=105 CORPO=105 | audit=missing
[22:28:35] JORNAIS=619 (+0) | PROCESSED=212 (+2) | OUTPUT=0 (+0) | CABECA=106 CORPO=106 | audit=missing
[22:29:06] JORNAIS=619 (+0) | PROCESSED=214 (+2) | OUTPUT=0 (+0) | CABECA=107 CORPO=107 | audit=missing
[22:29:36] JORNAIS=619 (+0) | PROCESSED=216 (+2) | OUTPUT=0 (+0) | CABECA=108 CORPO=108 | audit=missing
[22:30:06] JORNAIS=619 (+0) | PROCESSED=218 (+2) | OUTPUT=0 (+0) | CABECA=109 CORPO=109 | audit=missing
[22:30:36] JORNAIS=619 (+0) | PROCESSED=220 (+2) | OUTPUT=0 (+0) | CABECA=110 CORPO=110 | audit=missing
[22:31:06] JORNAIS=619 (+0) | PROCESSED=222 (+2) | OUTPUT=0 (+0) | CABECA=111 CORPO=111 | audit=missing
[22:31:36] JORNAIS=619 (+0) | PROCESSED=224 (+2) | OUTPUT=0 (+0) | CABECA=112 CORPO=112 | audit=missing
[22:32:06] JORNAIS=619 (+0) | PROCESSED=226 (+2) | OUTPUT=0 (+0) | CABECA=113 CORPO=113 | audit=missing
[22:32:36] JORNAIS=619 (+0) | PROCESSED=228 (+2) | OUTPUT=0 (+0) | CABECA=114 CORPO=114 | audit=missing
[22:33:06] JORNAIS=619 (+0) | PROCESSED=230 (+2) | OUTPUT=0 (+0) | CABECA=115 CORPO=115 | audit=missing
[22:33:36] JORNAIS=619 (+0) | PROCESSED=232 (+2) | OUTPUT=0 (+0) | CABECA=116 CORPO=116 | audit=missing
[22:34:06] JORNAIS=619 (+0) | PROCESSED=234 (+2) | OUTPUT=0 (+0) | CABECA=117 CORPO=117 | audit=missing
[22:34:36] JORNAIS=619 (+0) | PROCESSED=237 (+3) | OUTPUT=0 (+0) | CABECA=119 CORPO=118 | audit=missing
[22:35:06] JORNAIS=619 (+0) | PROCESSED=240 (+3) | OUTPUT=0 (+0) | CABECA=120 CORPO=120 | audit=missing
[22:35:37] JORNAIS=619 (+0) | PROCESSED=242 (+2) | OUTPUT=0 (+0) | CABECA=121 CORPO=121 | audit=missing
[22:36:07] JORNAIS=619 (+0) | PROCESSED=246 (+4) | OUTPUT=0 (+0) | CABECA=123 CORPO=123 | audit=missing
[22:36:37] JORNAIS=619 (+0) | PROCESSED=248 (+2) | OUTPUT=0 (+0) | CABECA=124 CORPO=124 | audit=missing
[22:37:07] JORNAIS=619 (+0) | PROCESSED=250 (+2) | OUTPUT=0 (+0) | CABECA=125 CORPO=125 | audit=missing
[22:37:37] JORNAIS=619 (+0) | PROCESSED=252 (+2) | OUTPUT=0 (+0) | CABECA=126 CORPO=126 | audit=missing
[22:38:07] JORNAIS=619 (+0) | PROCESSED=254 (+2) | OUTPUT=0 (+0) | CABECA=127 CORPO=127 | audit=missing
[22:38:37] JORNAIS=619 (+0) | PROCESSED=256 (+2) | OUTPUT=0 (+0) | CABECA=128 CORPO=128 | audit=missing
[22:39:07] JORNAIS=619 (+0) | PROCESSED=258 (+2) | OUTPUT=0 (+0) | CABECA=129 CORPO=129 | audit=missing
[22:39:37] JORNAIS=619 (+0) | PROCESSED=260 (+2) | OUTPUT=0 (+0) | CABECA=130 CORPO=130 | audit=missing
[22:40:07] JORNAIS=619 (+0) | PROCESSED=262 (+2) | OUTPUT=0 (+0) | CABECA=131 CORPO=131 | audit=missing
[22:40:37] JORNAIS=619 (+0) | PROCESSED=264 (+2) | OUTPUT=0 (+0) | CABECA=132 CORPO=132 | audit=missing
[22:41:07] JORNAIS=619 (+0) | PROCESSED=266 (+2) | OUTPUT=0 (+0) | CABECA=133 CORPO=133 | audit=missing
[22:41:37] JORNAIS=619 (+0) | PROCESSED=268 (+2) | OUTPUT=0 (+0) | CABECA=134 CORPO=134 | audit=missing
[22:42:08] JORNAIS=619 (+0) | PROCESSED=270 (+2) | OUTPUT=0 (+0) | CABECA=135 CORPO=135 | audit=missing
[22:42:38] JORNAIS=619 (+0) | PROCESSED=272 (+2) | OUTPUT=0 (+0) | CABECA=136 CORPO=136 | audit=missing
[22:43:08] JORNAIS=619 (+0) | PROCESSED=274 (+2) | OUTPUT=0 (+0) | CABECA=137 CORPO=137 | audit=missing
[22:43:38] JORNAIS=619 (+0) | PROCESSED=276 (+2) | OUTPUT=0 (+0) | CABECA=138 CORPO=138 | audit=missing
[22:44:08] JORNAIS=619 (+0) | PROCESSED=278 (+2) | OUTPUT=0 (+0) | CABECA=139 CORPO=139 | audit=missing
[22:44:38] JORNAIS=619 (+0) | PROCESSED=280 (+2) | OUTPUT=0 (+0) | CABECA=140 CORPO=140 | audit=missing
[22:45:08] JORNAIS=619 (+0) | PROCESSED=282 (+2) | OUTPUT=0 (+0) | CABECA=141 CORPO=141 | audit=missing
[22:45:38] JORNAIS=619 (+0) | PROCESSED=284 (+2) | OUTPUT=0 (+0) | CABECA=142 CORPO=142 | audit=missing
[22:46:08] JORNAIS=619 (+0) | PROCESSED=286 (+2) | OUTPUT=0 (+0) | CABECA=143 CORPO=143 | audit=missing
[22:46:38] JORNAIS=619 (+0) | PROCESSED=288 (+2) | OUTPUT=0 (+0) | CABECA=144 CORPO=144 | audit=missing
[22:47:08] JORNAIS=619 (+0) | PROCESSED=290 (+2) | OUTPUT=0 (+0) | CABECA=145 CORPO=145 | audit=missing
[22:47:38] JORNAIS=619 (+0) | PROCESSED=294 (+4) | OUTPUT=0 (+0) | CABECA=147 CORPO=147 | audit=missing
