arquivo,tipo,classificacao,duracao_s,primeira_palavra,ultima_palavra,motivo,erro,energia_borda_ini_db,energia_borda_fim_db
BOLETIM_RADIO_TJRN_07_04_2026_B8_MPRN_EX_SECRETARIO_MOSSORO_CONDENADO_CORPO.mp3,CORPO,OK,65.16,O,difícil.,,,-22.3,-28.7
BOLETIM_RADIO_TJRN_07_04_2026_B9_INDENIZACAO_FALTA_AGUA_CORPO.mp3,CORPO,OK,60.89,após,morais.,,,-120.0,-120.0
BOLETIM_RADIO_TJRN_08_04_2026_B1_TJRN_SANTA_CRUZ_PROJETOS_SOCIAIS__CORPO.mp3,CORPO,OK,47.22,A,institucional.,,,-120.0,-120.0
BOLETIM_RADIO_TJRN_08_04_2026_B2_TJRN_BANCO_CONDENADO_VAZAMENTOS_DADOS__CORPO.mp3,CORPO,OK,45.8,A,golpe...,,,-27.0,-90.3
BOLETIM_RADIO_TJRN_08_04_2026_B3_TJRN_ACAO_ALIMENTOS_IDOSO_ALZHEIMER__CORPO.mp3,CORPO,OK,48.05,que,curador.,,,-22.5,-120.0
BOLETIM_RADIO_TJRN_08_04_2026_B4_TJRN_PLANO_SAUDE_CONDENADO_CIRURGIA_OCULAR__CORPO.mp3,CORPO,OK,72.25,O,NS.,,,-36.4,-70.3
BOLETIM_RADIO_TJRN_08_04_2026_B5_TJRN_SENTENCA_EXIGENCIA_PROCURACAO_DETRAN__CORPO.mp3,CORPO,OK,67.64,O,particular.,,,-22.9,-44.0
BOLETIM_RADIO_TJRN_08_04_2026_B6_TJRN_VIGILANTE_AUXILIAR_CONDENADOS__CORPO.mp3,CORPO,OK,78.02,A,peças.,,,-24.2,-29.1
BOLETIM_RADIO_TJRN_08_04_2026_B7_TJRN_PLATAFORMA_NAO_EFETIVA_RESERVA_HOTEL_CORPO.mp3,CORPO,OK,55.62,A,materiais,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-120.0
BOLETIM_RADIO_TJRN_08_04_2026_B8_TJRN_FALHA_DEPOSITO_BANCARIO__CORPO.mp3,CORPO,OK,41.85,O,judicial.,,,-120.0,-120.0
