arquivo,data,num_projetado,status
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B1_TJRN_COMARCA_MARTINS_EDITAL_PENAS_PECUNIARIAS__CORPO.mp3,26/06/2026,1900,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B1_TJRN_TANGARA_RESPONSAVEL_INTERINO__CABECA.mp3,26/06/2026,1900,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B1_TJRN_TANGARA_RESPONSAVEL_INTERINO__CORPO.mp3,26/06/2026,1900,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B2_CONDENACAO_LEILAO_MOTOCICLETA_NJUD_CABECA.mp3,26/06/2026,1900,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B2_CONDENACAO_LEILAO_MOTOCICLETA_NJUD_CORPO.mp3,26/06/2026,1900,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B2_TJRN_CONDENA_FRANQUIA_ODONTOLOGICA_NJUD_1931_CABECA.mp3,26/06/2026,1900,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B2_TJRN_CONDENA_FRANQUIA_ODONTOLOGICA_NJUD_1931_CORPO.mp3,26/06/2026,1900,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B2_TJRN_REUNIAO_DEBATE_FINANCIAMENTO_PENA_JUSTA__CABECA.mp3,26/06/2026,1900,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B2_TJRN_REUNIAO_DEBATE_FINANCIAMENTO_PENA_JUSTA__CORPO.mp3,26/06/2026,1900,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B3_INDENIZACAO_PATINETE_NJUD_CABECA.mp3,26/06/2026,1900,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B3_INDENIZACAO_PATINETE_NJUD_CORPO.mp3,26/06/2026,1900,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B3_TJRN_FORMALIZACAO_48_CASAIS_NJUD_1926_CABECA.mp3,26/06/2026,1900,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B3_TJRN_FORMALIZACAO_48_CASAIS_NJUD_1926_CORPO.mp3,26/06/2026,1900,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B3_TJRN_LOCACAO_IMOVEL_PRECARIA_NJUD_1931_CABECA.mp3,26/06/2026,1900,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B3_TJRN_LOCACAO_IMOVEL_PRECARIA_NJUD_1931_CORPO.mp3,26/06/2026,1900,pronto_renomear
